project,organism full name,organism abbreviation,is_annotated genome,is_reference_strain,orthoMCL abbrev
AmoebaDB,Acanthamoeba astronyxis Unknown,aastUnknown,0,1,aasu
AmoebaDB,Acanthamoeba castellanii C3,acasC3,0,0,acac
AmoebaDB,Acanthamoeba castellanii Ma,acasMa,0,0,acsm
AmoebaDB,Acanthamoeba castellanii str. Neff,acasNeff,1,1,acas
AmoebaDB,Acanthamoeba castellanii str. Neff 2021,acasNeff2021,0,0,acne
AmoebaDB,Acanthamoeba sp Galka,acspGalka,0,1,acsg
AmoebaDB,Acanthamoeba sp Incertae sedis,acspIncertae_sedis,0,0,acsi
AmoebaDB,Acanthamoeba sp. SK_2022a,acspSK_2022a,0,0,assa
AmoebaDB,Acanthamoeba sp. SK_2022b,acspSK_2022b,0,0,assb
AmoebaDB,Acanthamoeba sp. SK_2022c,acspSK_2022c,0,0,assc
AmoebaDB,Acanthamoeba sp T4b-type,acspT4B-type,0,0,actb
AmoebaDB,Acanthamoeba culbertsoni A1,aculA1,0,1,acul
AmoebaDB,Acanthamoeba lenticulata PD2S,alenPD2S,0,1,alep
AmoebaDB,Acanthamoeba lugdunensis L3a,alugL3a,0,1,alul
AmoebaDB,Acanthamoeba mauritaniensis 1652,amau1652,0,1,amau
AmoebaDB,Acanthamoeba palestinensis Reich,apalReich,0,1,apal
AmoebaDB,Acanthamoeba quina Vil3,aquiVil3,0,1,aqui
AmoebaDB,Acanthamoeba rhysodes Singh,arhySingh,0,1,arhs
AmoebaDB,Acanthamoeba triangularis SH621,atriSH621,0,1,atri
AmoebaDB,Balamuthia mandrillaris strain 2046,bman2046,0,0,bmtz
AmoebaDB,Balamuthia mandrillaris CDC-V039,bmanCDCV039,0,1,bman
AmoebaDB,Dictyostelium discoideum AX4,ddisAX4,1,1,ddia
AmoebaDB,Dictyostelium purpureum QSDP1,dpurQSDP1,1,1,dpur
AmoebaDB,Entamoeba dispar SAW760,edisSAW760,1,1,edis
AmoebaDB,Entamoeba histolytica DS4-868,ehisDS4,0,0,ehds
AmoebaDB,Entamoeba histolytica HM-1:IMSS,ehisHM1IMSS,1,1,ehis
AmoebaDB,Entamoeba histolytica HM-1:IMSS-A,ehisHM1IMSS-A,1,0,ehia
AmoebaDB,Entamoeba histolytica HM-1:IMSS-B,ehisHM1IMSS-B,1,0,ehib
AmoebaDB,Entamoeba histolytica HM-3:IMSS,ehisHM3IMSS,1,0,ehhi
AmoebaDB,Entamoeba histolytica KU27,ehisKU27,1,0,ehik
AmoebaDB,Entamoeba histolytica KU48,ehisKU48,0,0,ehku
AmoebaDB,Entamoeba histolytica KU50,ehisKU50,0,0,ehkf
AmoebaDB,Entamoeba histolytica Rahman,ehisRAH,0,0,ehra
AmoebaDB,Entamoeba invadens IP1,einvIP1,1,1,einv
AmoebaDB,Entamoeba moshkovskii Laredo,emosLaredo,1,1,emos
AmoebaDB,Entamoeba nuttalli P19,enutP19,1,1,enut
AmoebaDB,Mastigamoeba balamuthi ATCC 30984,mbalATCC30984,1,1,mbal
AmoebaDB,Naegleria fowleri ATCC 30863,nfowATCC30863,1,0,nfow
AmoebaDB,Naegleria fowleri strain ATCC 30894,nfowATCC30894,1,0,nfoa
AmoebaDB,Naegleria fowleri strain Ty,nfowTy,1,1,nfty
AmoebaDB,Naegleria gruberi strain NEG-M,ngruNEG-M,1,1,ngru
AmoebaDB,Naegleria lovaniensis strain ATCC 30569,nlovATCC30569,1,1,nlov
AmoebaDB,Naegleria lovaniensis NL_76_15_250,nlovNL7615250,0,0,nlnl
,,,,,
,,,,,
CryptoDB,Cryptosporidium andersoni isolate 30847,cand30847,1,1,cand
CryptoDB,Cryptosporidium baileyi TAMU-09Q1,cbaiTAMU-09Q1,0,1,cbai
CryptoDB,Cryptosporidium bovis isolate 45015,cbov45015,1,1,cbov
CryptoDB,Cryptosporidium hominis isolate 30976,chom30976,1,0,choi
CryptoDB,Cryptosporidium hominis 37999,chom37999,0,0,chon
CryptoDB,Cryptosporidium hominis TU502,chomTU502,1,1,chom
CryptoDB,Cryptosporidium hominis isolate TU502_2012,chomTU502_2012,1,0,chot
CryptoDB,Cryptosporidium hominis UdeA01,chomUdeA01,1,0,chod
CryptoDB,Cryptosporidium hominis UKH1,chomUKH1,0,0,chou
CryptoDB,Cryptosporidium meleagridis TU1867,cmelTU1867,1,0,cmtu
CryptoDB,Cryptosporidium meleagridis strain UKMEL1,cmelUKMEL1,1,1,cmel
CryptoDB,Cryptosporidium muris RN66,cmurRN66,1,1,cmur
CryptoDB,Cryptosporidium parvum 2022,cpar2022,0,0,cptt
CryptoDB,Cryptosporidium parvum IOWA-ATCC,cparIOWA-ATCC,1,0,cpia
CryptoDB,Cryptosporidium parvum IOWA-BGF,cparIOWA-BGF,1,0,cpib
CryptoDB,Cryptosporidium parvum Iowa II,cparIowaII,1,1,cpar
CryptoDB,Cryptosporidium ryanae 45019,crya45019,1,1,crya
CryptoDB,Cryptosporidium serpentis 8845_47,cser8845_47,1,1,cser
CryptoDB,Cryptosporidium sp. 43IA8 isolate 43IA8,csp43IA8,1,1,cspi
CryptoDB,Cryptosporidium sp. chipmunk genotype I strain 37763,cspc37763,1,1,cscp
CryptoDB,Cryptosporidium sp. chipmunk LX-2015,cspchipmunkLX2015,0,1,cspc
CryptoDB,Cryptosporidium tyzzeri isolate UGA55,ctyzUGA55,1,1,ctyz
CryptoDB,Cryptosporidium ubiquitum isolate 39726,cubi39726,1,1,cubi
CryptoDB,Chromera velia CCMP2878,cvelCCMP2878,1,1,cvel
CryptoDB,Gregarina niphandrodes Unknown strain,gnipUnknown,1,1,gnip
CryptoDB,Porospora cf. gigantea A,pgigA,1,1,pcga
CryptoDB,Porospora cf. gigantea B,pgigB,1,0,pcgb
CryptoDB,Vitrella brassicaformis CCMP3155,vbraCCMP3155,1,1,vbra
,,,,,
,,,,,
FungiDB,Aspergillus aculeatus ATCC 16872,aacuATCC16872,1,1,aacu
FungiDB,Alternaria alternata SRC1lrK2f,aaltSRC1lrK2f,1,1,aalt
FungiDB,Ascosphaera apis ARSEF 7405,aapiARSEF7405,1,1,aapi
FungiDB,Aphanomyces astaci strain APO3,aastAPO3,1,1,aast
FungiDB,Aspergillus brasiliensis CBS 101740,abraCBS101740,1,1,abra
FungiDB,Aspergillus campestris IBT 28561,acamIBT28561,1,1,acam
FungiDB,Albugo candida 2VRR,acan2VRR,1,1,acan
FungiDB,Aspergillus carbonarius ITEM 5010,acarITEM5010,1,1,acar
FungiDB,Aspergillus clavatus NRRL 1,aclaNRRL1,1,1,acla
FungiDB,Aspergillus cristatus GZAAS20.1005,acriGZAAS20.1005,1,1,acri
FungiDB,Aspergillus ellipticus CBS 707.79,aellCBS707.79,1,1,aell
FungiDB,Aspergillus eucalypticola CBS 122712,aeucCBS122712,1,1,aeuc
FungiDB,Aphanomyces euteiches MF1,aeutMF1,1,1,aeut
FungiDB,Aspergillus fijiensis CBS 313.89,afijCBS313.89,1,1,afij
