sample.ID \\ Descriptors	SRA.ID.s.	label	timePoint	bloodTreatment
SRR5219340	SRR5219340	1hpi_RBCs	1	RBCs
SRR5219341	SRR5219341	1hpi_RBCs	1	RBCs
SRR5219344	SRR5219344	1hpi_RBCs	1	RBCs
SRR5219345	SRR5219345	1hpi_RBCs	1	RBCs
SRR5219348	SRR5219348	1hpi_RBCs	1	RBCs
SRR5219349	SRR5219349	1hpi_RBCs	1	RBCs
SRR5219342	SRR5219342	1hpi_hmbRCBs	1	hmbRBCs
SRR5219343	SRR5219343	1hpi_hmbRCBs	1	hmbRBCs
SRR5219346	SRR5219346	1hpi_hmbRCBs	1	hmbRBCs
SRR5219347	SRR5219347	1hpi_hmbRCBs	1	hmbRBCs
SRR5219350	SRR5219350	1hpi_hmbRCBs	1	hmbRBCs
SRR5219351	SRR5219351	1hpi_hmbRCBs	1	hmbRBCs
SRR5219352	SRR5219352	3hpi_RBCs	3	RBCs
SRR5219353	SRR5219353	3hpi_RBCs	3	RBCs
SRR5219356	SRR5219356	3hpi_RBCs	3	RBCs
SRR5219357	SRR5219357	3hpi_RBCs	3	RBCs
SRR5219360	SRR5219360	3hpi_RBCs	3	RBCs
SRR5219361	SRR5219361	3hpi_RBCs	3	RBCs
SRR5219354	SRR5219354	3hpi_hmbRCBs	3	hmbRBCs
SRR5219355	SRR5219355	3hpi_hmbRCBs	3	hmbRBCs
SRR5219358	SRR5219358	3hpi_hmbRCBs	3	hmbRBCs
SRR5219359	SRR5219359	3hpi_hmbRCBs	3	hmbRBCs
SRR5219362	SRR5219362	3hpi_hmbRCBs	3	hmbRBCs
SRR5219363	SRR5219363	3hpi_hmbRCBs	3	hmbRBCs
SRR5219364	SRR5219364	6hpi_RBCs	6	RBCs
SRR5219365	SRR5219365	6hpi_RBCs	6	RBCs
SRR5219368	SRR5219368	6hpi_RBCs	6	RBCs
SRR5219369	SRR5219369	6hpi_RBCs	6	RBCs
SRR5219372	SRR5219372	6hpi_RBCs	6	RBCs
SRR5219373	SRR5219373	6hpi_RBCs	6	RBCs
SRR5219366	SRR5219366	6hpi_hmbRCBs	6	hmbRBCs
SRR5219367	SRR5219367	6hpi_hmbRCBs	6	hmbRBCs
SRR5219370	SRR5219370	6hpi_hmbRCBs	6	hmbRBCs
SRR5219371	SRR5219371	6hpi_hmbRCBs	6	hmbRBCs
SRR5219374	SRR5219374	6hpi_hmbRCBs	6	hmbRBCs
SRR5219375	SRR5219375	6hpi_hmbRCBs	6	hmbRBCs
SRR5219376	SRR5219376	24hpi_RBCs	24	RBCs
SRR5219377	SRR5219377	24hpi_RBCs	24	RBCs
SRR5219380	SRR5219380	24hpi_RBCs	24	RBCs
SRR5219381	SRR5219381	24hpi_RBCs	24	RBCs
SRR5219384	SRR5219384	24hpi_RBCs	24	RBCs
SRR5219385	SRR5219385	24hpi_RBCs	24	RBCs
SRR5219378	SRR5219378	24hpi_hmbRCBs	24	hmbRBCs
SRR5219379	SRR5219379	24hpi_hmbRCBs	24	hmbRBCs
SRR5219382	SRR5219382	24hpi_hmbRCBs	24	hmbRBCs
SRR5219383	SRR5219383	24hpi_hmbRCBs	24	hmbRBCs
SRR5219386	SRR5219386	24hpi_hmbRCBs	24	hmbRBCs
SRR5219387	SRR5219387	24hpi_hmbRCBs	24	hmbRBCs
