sample.ID \\ Descriptors	SRA.ID.s.	label	gut_region
Gut_sucrose_1	SRR17250352	Gut sucrose	Gut
Gut_sucrose_2	SRR17250353	Gut sucrose	Gut
Gut_sucrose_3	SRR17250354	Gut sucrose	Gut
Proventriculus_sucrose_1	SRR17250342	Proventriculus sucrose	Proventriculus
Proventriculus_sucrose_2	SRR17250343	Proventriculus sucrose	Proventriculus
Proventriculus_sucrose_3	SRR17250344	Proventriculus sucrose	Proventriculus
Anterior_midgut_sucrose_1	SRR17250345	Anterior midgut sucrose	Anterior midgut
Anterior_midgut_sucrose_2	SRR17250346	Anterior midgut sucrose	Anterior midgut
Anterior_midgut_sucrose_3	SRR17250347	Anterior midgut sucrose	Anterior midgut
Posterior_midgut_sucrose_1	SRR17250349	Posterior midgut sucrose	Posterior midgut
Posterior_midgut_sucrose_2	SRR17250350	Posterior midgut sucrose	Posterior midgut
Posterior_midgut_sucrose_3	SRR17250351	Posterior midgut sucrose	Posterior midgut
