sample.ID \\ Descriptors	SRA.ID.s.	label	genotype	time_point
GSM4962889	SRR13217262	ΔPdr802 0 hours	ΔPdr802	0
GSM4962890	SRR13217263	ΔPdr802 0 hours	ΔPdr802	0
GSM4962891	SRR13217264	ΔPdr802 0 hours	ΔPdr802	0
GSM4962892	SRR13217265	ΔPdr802 24 hours	ΔPdr802	24
GSM4962893	SRR13217266	ΔPdr802 24 hours	ΔPdr802	24
GSM4962894	SRR13217267	ΔPdr802 24 hours	ΔPdr802	24
GSM4962895	SRR13217268	ΔPdr802 24 hours	ΔPdr802	24
GSM4962896	SRR13217269	ΔPdr802 24 hours	ΔPdr802	24
GSM4962897	SRR13217270	ΔPdr802 24 hours	ΔPdr802	24
GSM4962898	SRR13217271	Wild-type 0 hours	wild-type	0
GSM4962899	SRR13217272	Wild-type 0 hours	wild-type	0
GSM4962900	SRR13217273	Wild-type 0 hours	wild-type	0
GSM4962901	SRR13217274	Wild-type 0 hours	wild-type	0
GSM4962902	SRR13217275	Wild-type 0 hours	wild-type	0
GSM4962903	SRR13217276	Wild-type 0 hours	wild-type	0
GSM4962904	SRR13217277	Wild-type 0 hours	wild-type	0
GSM4962905	SRR13217278	Wild-type 0 hours	wild-type	0
GSM4962906	SRR13217279	Wild-type 0 hours	wild-type	0
GSM4962907	SRR13217280	Wild-type 0 hours	wild-type	0
GSM4962908	SRR13217281	Wild-type 0 hours	wild-type	0
GSM4962909	SRR13217282	Wild-type 0 hours	wild-type	0
GSM4962910	SRR13217283	Wild-type 0 hours	wild-type	0
GSM4962911	SRR13217284	Wild-type 0 hours	wild-type	0
GSM4962912	SRR13217285	Wild-type 0 hours	wild-type	0
GSM4962913	SRR13217286	Wild-type 0 hours	wild-type	0
GSM4962914	SRR13217287	Wild-type 0 hours	wild-type	0
GSM4962915	SRR13217288	Wild-type 0 hours	wild-type	0
GSM4962916	SRR13217289	Wild-type 0 hours	wild-type	0
GSM4962917	SRR13217290	Wild-type 0 hours	wild-type	0
GSM4962918	SRR13217291	Wild-type 0 hours	wild-type	0
GSM4962919	SRR13217292	Wild-type 0 hours	wild-type	0
GSM4962920	SRR13217293	Wild-type 0 hours	wild-type	0
GSM4962921	SRR13217294	Wild-type 0 hours	wild-type	0
GSM4962922	SRR13217295	Wild-type 0 hours	wild-type	0
GSM4962923	SRR13217296	Wild-type 0 hours	wild-type	0
GSM4962924	SRR13217297	Wild-type 0 hours	wild-type	0
GSM4962925	SRR13217298	Wild-type 0 hours	wild-type	0
GSM4962926	SRR13217299	Wild-type 0 hours	wild-type	0
GSM4962927	SRR13217300	Wild-type 0 hours	wild-type	0
GSM4962928	SRR13217301	Wild-type 0 hours	wild-type	0
GSM4962929	SRR13217302	Wild-type 0 hours	wild-type	0
GSM4962930	SRR13217303	Wild-type 0 hours	wild-type	0
GSM4962931	SRR13217304	Wild-type 0 hours	wild-type	0
GSM4962932	SRR13217305	Wild-type 0 hours	wild-type	0
GSM4962933	SRR13217306	Wild-type 0 hours	wild-type	0
GSM4962934	SRR13217307	Wild-type 0 hours	wild-type	0
GSM4962935	SRR13217308	Wild-type 0 hours	wild-type	0
GSM4962936	SRR13217309	Wild-type 0 hours	wild-type	0
GSM4962937	SRR13217310	Wild-type 24 hours	wild-type	24
GSM4962938	SRR13217311	Wild-type 24 hours	wild-type	24
GSM4962939	SRR13217312	Wild-type 24 hours	wild-type	24
GSM4962940	SRR13217313	Wild-type 24 hours	wild-type	24
GSM4962941	SRR13217314	Wild-type 24 hours	wild-type	24
GSM4962942	SRR13217315	Wild-type 24 hours	wild-type	24
GSM4962943	SRR13217316	Wild-type 24 hours	wild-type	24
GSM4962944	SRR13217317	Wild-type 24 hours	wild-type	24
