sample.ID \\ Descriptors	SRA.ID.s.	label	genotype
delta_CNAG_04908_TDY1113_rep1	SRR33678860	delta_CNAG_04908_TDY1113	delta CNAG_04908
delta_CNAG_04908_TDY1113_rep2	SRR33678861	delta_CNAG_04908_TDY1113	delta CNAG_04908
delta_CNAG_04908_TDY1113_rep3	SRR33678862	delta_CNAG_04908_TDY1113	delta CNAG_04908
delta_CNAG_04908_TDY1113_rep4	SRR33679036	delta_CNAG_04908_TDY1113	delta CNAG_04908
delta_CNAG_05222_TDY1118_rep1	SRR33678675	delta_CNAG_05222_TDY1118	delta CNAG_05222
delta_CNAG_05222_TDY1118_rep2	SRR33678676	delta_CNAG_05222_TDY1118	delta CNAG_05222
delta_CNAG_05222_TDY1118_rep3	SRR33678677	delta_CNAG_05222_TDY1118	delta CNAG_05222
delta_CNAG_04864_TDY1145_rep1	SRR33678867	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep2	SRR33678868	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep3	SRR33678869	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep4	SRR33678870	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep5	SRR33678871	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep6	SRR33678872	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep7	SRR33678873	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep8	SRR33678874	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_04864_TDY1145_rep9	SRR33678875	delta_CNAG_04864_TDY1145	delta CNAG_04864
delta_CNAG_00871_TDY1174_rep1	SRR33678584	delta_CNAG_00871_TDY1174	delta CNAG_00871
delta_CNAG_00871_TDY1174_rep2	SRR33678585	delta_CNAG_00871_TDY1174	delta CNAG_00871
delta_CNAG_00871_TDY1174_rep3	SRR33678955	delta_CNAG_00871_TDY1174	delta CNAG_00871
delta_CNAG_06276_TDY1178_rep1	SRR33679004	delta_CNAG_06276_TDY1178	delta CNAG_06276
delta_CNAG_06276_TDY1178_rep2	SRR33679005	delta_CNAG_06276_TDY1178	delta CNAG_06276
delta_CNAG_06276_TDY1178_rep3	SRR33679006	delta_CNAG_06276_TDY1178	delta CNAG_06276
