sample.ID \\ Descriptors	SRA.ID.s.	label	origin	mating_type	isolate
SRR5208985	SRR5208985	Ultuna_Sweden_A1_1.2_s1	Ultuna_Sweden	A1	1.2
SRR5208986	SRR5208986	Ultuna_Sweden_A1_1.2_s1	Ultuna_Sweden	A1	1.2
SRR5208987	SRR5208987	Halland_Sweden_A2_2.2_s2	Halland_Sweden	A2	2.2
SRR5208988	SRR5208988	Halland_Sweden_A2_2.2_s2	Halland_Sweden	A2	2.2
SRR5208989	SRR5208989	Skane_Sweden_A1_P1-5_s3	Skane_Sweden	A1	P1-5
SRR5208990	SRR5208990	Skane_Sweden_A1_P1-5_s3	Skane_Sweden	A1	P1-5
SRR5208991	SRR5208991	Hedemora_Sweden_A2_1.7_s4	Hedemora_Sweden	A2	1.7
SRR5208992	SRR5208992	Hedemora_Sweden_A2_1.7_s4	Hedemora_Sweden	A2	1.7
SRR5208993	SRR5208993	Netherlands_A1_80029_s5	Netherlands	A1	80029
SRR5208994	SRR5208994	Netherlands_A1_80029_s5	Netherlands	A1	80029
SRR5208995	SRR5208995	Netherlands_A2_IpO-0_s6	Netherlands	A2	IpO-0
SRR5208996	SRR5208996	Netherlands_A2_IpO-0_s6	Netherlands	A2	IpO-0
SRR5208997	SRR5208997	UK_A2_3928A_s7	UK	A2	3928A
SRR5208998	SRR5208998	UK_A2_3928A_s7	UK	A2	3928A
SRR5208999	SRR5208999	UK_A1_H7_s8	UK	A1	H7
SRR5209000	SRR5209000	UK_A1_H7_s8	UK	A1	H7
SRR5209001	SRR5209001	Sweden_mix_mix_m3	Sweden	mix	m3
SRR5209002	SRR5209002	Sweden_mix_mix_m3	Sweden	mix	m3
SRR5209003	SRR5209003	Sweden_mix_mix_m3	Sweden	mix	m3
SRR5209004	SRR5209004	Netherlands_mix_mix_m4	Netherlands	mix	m4
SRR5209005	SRR5209005	Netherlands_mix_mix_m4	Netherlands	mix	m4
SRR5209006	SRR5209006	Netherlands_mix_mix_m4	Netherlands	mix	m4
SRR5209007	SRR5209007	Sweden_mix_mix_m5	Sweden	mix	m5
SRR5209008	SRR5209008	Sweden_mix_mix_m5	Sweden	mix	m5
SRR5209009	SRR5209009	Sweden_mix_mix_m5	Sweden	mix	m5
SRR5209010	SRR5209010	Sweden_mix_mix_m8	Sweden	mix	m8
SRR5209011	SRR5209011	Sweden_mix_mix_m8	Sweden	mix	m8
SRR5209012	SRR5209012	Sweden_mix_mix_m8	Sweden	mix	m8
SRR5209013	SRR5209013	Sweden_mix_mix_m9	Sweden	mix	m9
SRR5209014	SRR5209014	Sweden_mix_mix_m9	Sweden	mix	m9
SRR5209015	SRR5209015	Sweden_mix_mix_m9	Sweden	mix	m9
SRR5209016	SRR5209016	UK_mix_mix_m10	UK	mix	m10
SRR5209017	SRR5209017	UK_mix_mix_m10	UK	mix	m10
SRR5209018	SRR5209018	UK_mix_mix_m10	UK	mix	m10
