sample.ID \\ Descriptors	SRA.ID.s.	label	isolate
Zt14_rep1	SRR22973891	Zt14	Zt14
Zt14_rep2	SRR22973890	Zt14	Zt14
Zt14_rep3	SRR22973889	Zt14	Zt14
Zt116_rep1	SRR22973882	Zt116	Zt116
Zt116_rep2	SRR22973881	Zt116	Zt116
Zt116_rep3	SRR22973880	Zt116	Zt116
Zt117_rep1	SRR22973873	Zt117	Zt117
Zt117_rep2	SRR22973872	Zt117	Zt117
Zt117_rep3	SRR22973871	Zt117	Zt117
Zt118_rep1	SRR22973864	Zt118	Zt118
Zt118_rep2	SRR22973863	Zt118	Zt118
Zt118_rep3	SRR22973862	Zt118	Zt118
Zt36_rep1	SRR22973855	Zt36	Zt36
Zt36_rep2	SRR22973854	Zt36	Zt36
Zt36_rep3	SRR22973853	Zt36	Zt36
Zt48_rep1	SRR22973846	Zt48	Zt48
Zt48_rep2	SRR22973845	Zt48	Zt48
Zt48_rep3	SRR22973844	Zt48	Zt48
Zt74_rep1	SRR22973837	Zt74	Zt74
Zt74_rep2	SRR22973836	Zt74	Zt74
Zt74_rep3	SRR22973835	Zt74	Zt74
Zt80_rep1	SRR22973828	Zt80	Zt80
Zt80_rep2	SRR22973827	Zt80	Zt80
Zt80_rep3	SRR22973826	Zt80	Zt80
Zt88_rep1	SRR22973817	Zt88	Zt88
Zt88_rep2	SRR22973816	Zt88	Zt88
Zt88_rep3	SRR22973815	Zt88	Zt88
Zt92_rep1	SRR22973808	Zt92	Zt92
Zt92_rep2	SRR22973807	Zt92	Zt92
Zt92_rep3	SRR22973806	Zt92	Zt92
Zt93_rep1	SRR22973799	Zt93	Zt93
Zt93_rep2	SRR22973798	Zt93	Zt93
Zt93_rep3	SRR22973797	Zt93	Zt93
Zt99_rep1	SRR22973790	Zt99	Zt99
Zt99_rep2	SRR22973819	Zt99	Zt99
Zt99_rep3	SRR22973818	Zt99	Zt99
