Data Type	datasetName	projectId	bioprojectAccession	pubmedId	manualDeliveryPath	Notes
RNASeq	plinCAN1_plinCAN1_Clairet_2024_rnaSeq_RSRC	FungiDB	PRJNA991504	38358035	/eupath/data/EuPathDB/manualDelivery/FungiDB/plinCAN1/rnaSeq/plinCAN1_Clairet_2024/2024-01-01	https://redmine.apidb.org/issues/56588
RNASeq	pcacP414_pcacP414_Yangzhou_2025_rnaSeq_RSRC	FungiDB	PRJNA288431		/eupath/data/EuPathDB/manualDelivery/FungiDB/pcacP414/rnaSeq/pcacP414_Yangzhou_2025/2016-06-30	https://redmine.apidb.org/issues/56587
RNASeq	pinfT30-4_Shu_pinfT30-4_2024_rnaSeq_RSRC	FungiDB	PRJNA819263		/eupath/data/EuPathDB/manualDelivery/FungiDB/pinfT30-4/rnaSeq/Shu_pinfT30-4_2024/2024-03-24	https://redmine.apidb.org/issues/56452
RNASeq	rdelRA99-880_Sephton-Clark_RdelRA99_2018_rnaSeq_RSRC	FungiDB	PRJNA472797	30258038	/eupath/data/EuPathDB/manualDelivery/FungiDB/rdelRA99-880/rnaSeq/Sephton-Clark_RdelRA99_2018/2018-05-23	https://redmine.apidb.org/issues/49778
RNASeq	umay521_umaydis_Damoo_2024_rnaSeq_RSRC	FungiDB	PRJNA1105071		/eupath/data/EuPathDB/manualDelivery/FungiDB/umay521/rnaSeq/umaydis_Damoo_2024/2024-11-06	https://redmine.apidb.org/issues/56494
RNASeq	umay521_Malesevic_umay521_2022_rnaSeq_RSRC	FungiDB	PRJNA848199	36135682	/eupath/data/EuPathDB/manualDelivery/FungiDB/umay521/rnaSeq/Malesevic_umay521_2022/2022-06-16	https://redmine.apidb.org/issues/56457
RNASeq	calbSC5314_Hollomon_Calb_2016_rnaSeq_RSRC	FungiDB	PRJNA342164	27921082	/eupath/data/EuPathDB/manualDelivery/FungiDB/calbSC5314/rnaSeq/Hollomon_Calb_2016/2016-10-23	https://redmine.apidb.org/issues/47628
RNASeq	foxy4287_foxy4287_Kim_2025_rnaSeq_RSRC	FungiDB	PRJNA1173228	https://doi.org/10.1101/2025.02.03.636182	/eupath/data/EuPathDB/manualDelivery/FungiDB/foxy4287/rnaSeq/foxy4287_Kim_2025/2024-12-31	https://redmine.apidb.org/issues/56772
RNASeq	foxy4287_foxy_Restrepo_2016_rnaSeq_RSRC	FungiDB	PRJNA323849		/eupath/data/EuPathDB/manualDelivery/FungiDB/foxy4287/rnaSeq/foxy_Restrepo_2016/2016-06-03	https://redmine.apidb.org/issues/56546
RNASeq	foxy4287_foxy4287_Palos-Fernandez_2024_rnaSeq_RSRC	FungiDB	PRJNA1017476	39495784, 41134624	/eupath/data/EuPathDB/manualDelivery/FungiDB/foxy4287/rnaSeq/foxy4287_Palos-Fernandez_2024/2024-11-07	https://redmine.apidb.org/issues/56536
RNASeq	mory70-15_Magna_WGCNA_Yan_2022_rnaSeq_RSRC	FungiDB	PRJEB45007	36808541	/eupath/data/EuPathDB/manualDelivery/FungiDB/mory70-15/rnaSeq/Magna_WGCNA_Yan_2022/2023-02-22	https://redmine.apidb.org/issues/49764
RNASeq	ncraOR74A_Leader_ncraOR74A_2013_rnaSeq_RSRC	FungiDB	PRJNA217503	24037267	/eupath/data/EuPathDB/manualDelivery/FungiDB/ncraOR74A/rnaSeq/Leader_ncraOR74A_2013/2013-09-06	https://redmine.apidb.org/issues/42454
RNASeq	ncraOR74A_ncraOR74A_Belden_2019_rnaSeq_RSRC	FungiDB	PRJNA497109	31068130	/eupath/data/EuPathDB/manualDelivery/FungiDB/ncraOR74A/rnaSeq/ncraOR74A_Belden_2019/2018-11-30	https://redmine.apidb.org/issues/53974
RNASeq	aflaNRRL3357_aflaNRRL3357_Rokas_2026_rnaSeq_RSRC	FungiDB	PRJNA1257291	40817095, 39026826	/eupath/data/EuPathDB/manualDelivery/FungiDB/aflaNRRL3357/rnaSeq/aflaNRRL3357_Rokas_2026/2023-08-31	https://redmine.apidb.org/issues/56769
RNASeq	sscl1980UF-70_sscl1980UF-70_Kusch_2022_PAIRED_rnaSeq_RSRC	FungiDB	PRJNA670487	34282282	/eupath/data/EuPathDB/manualDelivery/FungiDB/sscl1980UF-70/rnaSeq/sscl1980UF-70_Kusch_2022_PAIRED/2021-07-22	https://redmine.apidb.org/issues/56485
RNASeq	sscl1980UF-70_sscl1980UF-70_Kusch_2022_SINGLE_rnaSeq_RSRC	FungiDB	PRJNA670487	34282282	/eupath/data/EuPathDB/manualDelivery/FungiDB/sscl1980UF-70/rnaSeq/sscl1980UF-70_Kusch_2022_SINGLE	https://redmine.apidb.org/issues/56524
RNASeq	anidFGSCA4_anidFGSCA4_Kim_2025_rnaSeq_RSRC	FungiDB	PRJNA1173228	https://doi.org/10.1101/2025.02.03.636182	/eupath/data/EuPathDB/manualDelivery/FungiDB/anidFGSCA4/rnaSeq/anidFGSCA4_Kim_2025/2024-12-31	https://redmine.apidb.org/issues/56771
RNASeq	afumAf293_afumAf293_Kim_2025_rnaSeq_RSRC	FungiDB	PRJNA1173228	https://doi.org/10.1101/2025.02.03.636182	/eupath/data/EuPathDB/manualDelivery/FungiDB/afumAf293/rnaSeq/afumAf293_Kim_2025/2024-12-31	https://redmine.apidb.org/issues/56770
RNASeq	ptri1-1BBBDRace1_Sucher_Ptriticina_2018_rnaSeq_RSRC	FungiDB	PRJNA393407		/eupath/data/EuPathDB/manualDelivery/FungiDB/ptri1-1BBBDRace1/rnaSeq/Sucher_Ptriticina_2018/2018-07-07	https://redmine.apidb.org/issues/48107
RNASeq	mresKCTC27527_Park_mresKCTC27527_2020_rnaSeq_RSRC	FungiDB	PRJNA593855		/eupath/data/EuPathDB/manualDelivery/FungiDB/mresKCTC27527/rnaSeq/Park_mresKCTC27527_2020/2020-12-07	https://redmine.apidb.org/issues/49788
RNASeq	vdahJR2_Vd_Scholz_2018_rnaSeq_RSRC	FungiDB	PRJNA413141	36747219	/eupath/data/EuPathDB/manualDelivery/FungiDB/vdahJR2/rnaSeq/Vd_Scholz_2018/2018-02-08	https://redmine.apidb.org/issues/53962
RNASeq	ttonCBS112818_Xiao_Tspp_2023_rnaSeq_RSRC	FungiDB	PRJNA819275	38295003	/eupath/data/EuPathDB/manualDelivery/FungiDB/ttonCBS112818/rnaSeq/Xiao_Tspp_2023/2022-08-19	https://redmine.apidb.org/issues/56295
RNASeq	fsolFSSC5MPISDFRAT0091_fsol_Restrepo_2016_rnaSeq_RSRC	FungiDB	PRJNA323849		/eupath/data/EuPathDB/manualDelivery/FungiDB/fsolFSSC5MPISDFRAT0091/rnaSeq/fsol_Restrepo_2016/2016-06-03	https://redmine.apidb.org/issues/56548
RNASeq	bgrasphordeiiRACE1_Sucher_Bhordei_2018_rnaSeq_RSRC	FungiDB	PRJNA393407		/eupath/data/EuPathDB/manualDelivery/FungiDB/bgrasphordeiiRACE1/rnaSeq/Sucher_Bhordei_2018/2017-07-07	https://redmine.apidb.org/issues/49786
RNASeq	mmusC57BL6J_mmusC57BL6J_Guirao-Abad_2026_rnaSeq_RSRC	HostDB	PRJNA1198311	39763713	/eupath/data/EuPathDB/manualDelivery/HostDB/mmusC57BL6J/rnaSeq/mmusC57BL6J_Guirao-Abad_2026/2026-04-08	https://redmine.apidb.org/issues/56768
RNASeq	mmusC57BL6J_Cneo_scRNA_2020_rnaSeq_RSRC	HostDB	PRJNA609746	32769172	/eupath/data/EuPathDB/manualDelivery/HostDB/mmusC57BL6J/rnaSeq/Cneo_scRNA_2020/2020-06-08	https://redmine.apidb.org/issues/56578
RNASeq	mmusC57BL6J_de-Souza-Silva_mmusC57BL6J_2020_rnaSeq_RSRC	HostDB	PRJNA664758	33255176	/eupath/data/EuPathDB/manualDelivery/HostDB/mmusC57BL6J/rnaSeq/de-Souza-Silva_mmusC57BL6J_2020/2020-11-27	https://redmine.apidb.org/issues/49790
RNASeq	hsapREF_Xiao_Tspp_2023_rnaSeq_RSRC	HostDB	PRJNA819275	38295003	/eupath/data/EuPathDB/manualDelivery/HostDB/hsapREF/rnaSeq/Xiao_Tspp_2023/2022-08-19	https://redmine.apidb.org/issues/51078
RNASeq	mmusC57BL6J_mmusC57BL6J_Vanpala_2020_rnaSeq_RSRC	HostDB	PRJNA549708	32769172	/eupath/data/EuPathDB/manualDelivery/HostDB/mmusC57BL6J/rnaSeq/mmusC57BL6J_Vanpala_2020/2020-06-08	https://redmine.apidb.org/issues/55691
RNASeq	mmusC57BL6J_mmusC57BL6J_Wang_2020_rnaSeq_RSRC	HostDB	PRJNA688152	35729111	/eupath/data/EuPathDB/manualDelivery/HostDB/mmusC57BL6J/rnaSeq/mmusC57BL6J_Wang_2020/2023-09-01	https://redmine.apidb.org/issues/51508
RNASeq	sscaArlian_Korhonen_stages_2020_rnaSeq_RSRC	VectorBase	PRJNA598457	33001992	/eupath/data/EuPathDB/manualDelivery/VectorBase/sscaArlian/rnaSeq/Korhonen_stages_2020/2020-09-18	https://redmine.apidb.org/issues/53524
RNASeq	wsmiHCP4_Voshall_sex_brain_Wyeo_2020_rnaSeq_RSRC	VectorBase	PRJNA612100		/eupath/data/EuPathDB/manualDelivery/VectorBase/wsmiHCP4/rnaSeq/Voshall_sex_brain_Wyeo_2020/2020-04-01	https://redmine.apidb.org/issues/53624
RNASeq	etenHoughton2021_miRNA_3Stages_rnaSeq_RSRC	ToxoDB	PRJNA832521	35937295	/eupath/data/EuPathDB/manualDelivery/ToxoDB/etenHoughton2021/rnaSeq/miRNA_3Stages/2022-05-27	https://redmine.apidb.org/issues/53813
