sample.ID \\ Descriptors	SRA.ID.s.	label	stage
Germinated_conidia_STAGE4_rep1	SRR31004333	Germinated conidia_STAGE4	STAGE4
Germinated_conidia_STAGE4_rep2	SRR31004334	Germinated conidia_STAGE4	STAGE4
Germinated_conidia_STAGE4_rep3	SRR31004335	Germinated conidia_STAGE4	STAGE4
Germinated_conidia_STAGE3_rep1	SRR31004336	Germinated conidia_STAGE3	STAGE3
Germinated_conidia_STAGE3_rep2	SRR31004337	Germinated conidia_STAGE3	STAGE3
Germinated_conidia_STAGE3_rep3	SRR31004338	Germinated conidia_STAGE3	STAGE3
Germinated_conidia_STAGE2_rep1	SRR31004339	Germinated conidia_STAGE2	STAGE2
Germinated_conidia_STAGE2_rep2	SRR31004340	Germinated conidia_STAGE2	STAGE2
Germinated_conidia_STAGE2_rep3	SRR31004341	Germinated conidia_STAGE2	STAGE2
Conidia_STAGE1_rep1	SRR31004342	Conidia_STAGE1	STAGE1
Conidia_STAGE1_rep2	SRR31004343	Conidia_STAGE1	STAGE1
Conidia_STAGE1_rep3	SRR31004344	Conidia_STAGE1	STAGE1
