sample.ID \\ Descriptors	SRA.ID.s.	label	stage
Germinated_conidia_STAGE4_rep1	SRR31004321	Germinated conidia_STAGE4	STAGE4
Germinated_conidia_STAGE4_rep2	SRR31004322	Germinated conidia_STAGE4	STAGE4
Germinated_conidia_STAGE4_rep3	SRR31004323	Germinated conidia_STAGE4	STAGE4
Germinated_conidia_STAGE3_rep1	SRR31004324	Germinated conidia_STAGE3	STAGE3
Germinated_conidia_STAGE3_rep2	SRR31004325	Germinated conidia_STAGE3	STAGE3
Germinated_conidia_STAGE3_rep3	SRR31004326	Germinated conidia_STAGE3	STAGE3
Germinated_conidia_STAGE2_rep1	SRR31004327	Germinated conidia_STAGE2	STAGE2
Germinated_conidia_STAGE2_rep2	SRR31004328	Germinated conidia_STAGE2	STAGE2
Germinated_conidia_STAGE2_rep3	SRR31004329	Germinated conidia_STAGE2	STAGE2
Conidia_STAGE1_rep1	SRR31004330	Conidia_STAGE1	STAGE1
Conidia_STAGE1_rep2	SRR31004331	Conidia_STAGE1	STAGE1
Conidia_STAGE1_rep3	SRR31004332	Conidia_STAGE1	STAGE1
