sample.ID \\ Descriptors	SRA.ID.s.	label	stage	genotype
WT_conidia_STAGE1_rep1	SRR31004356	WT_conidia_STAGE1	STAGE1	WT
WT_conidia_STAGE1_rep2	SRR31004355	WT_conidia_STAGE1	STAGE1	WT
WT_conidia_STAGE1_rep3	SRR31004354	WT_conidia_STAGE1	STAGE1	WT
WT_germ_conidia_STAGE2_rep1	SRR31004353	WT_germ_conidia_STAGE2	STAGE2	WT
WT_germ_conidia_STAGE2_rep2	SRR31004352	WT_germ_conidia_STAGE2	STAGE2	WT
WT_germ_conidia_STAGE2_rep3	SRR31004351	WT_germ_conidia_STAGE2	STAGE2	WT
WT_germ_conidia_STAGE3_rep1	SRR31004350	WT_germ_conidia_STAGE3	STAGE3	WT
WT_germ_conidia_STAGE3_rep2	SRR31004349	WT_germ_conidia_STAGE3	STAGE3	WT
WT_germ_conidia_STAGE3_rep3	SRR31004348	WT_germ_conidia_STAGE3	STAGE3	WT
WT_germ_conidia_STAGE4_rep1	SRR31004320	WT_germ_conidia_STAGE4	STAGE4	WT
WT_germ_conidia_STAGE4_rep2	SRR31004319	WT_germ_conidia_STAGE4	STAGE4	WT
WT_germ_conidia_STAGE4_rep3	SRR31004318	WT_germ_conidia_STAGE4	STAGE4	WT
deltaFoabaA_AfabaA_germ_conidia_STAGE4_rep1	SRR31004317	deltaFoabaA_AfabaA_germ_conidia_STAGE4	STAGE4	deltaFoabaA::PAfabaA::AfabaA
deltaFoabaA_AfabaA_germ_conidia_STAGE4_rep2	SRR31004316	deltaFoabaA_AfabaA_germ_conidia_STAGE4	STAGE4	deltaFoabaA::PAfabaA::AfabaA
deltaFoabaA_AfabaA_germ_conidia_STAGE4_rep3	SRR31004315	deltaFoabaA_AfabaA_germ_conidia_STAGE4	STAGE4	deltaFoabaA::PAfabaA::AfabaA
deltaFoabaA_FoabaA_germ_conidia_STAGE4_rep1	SRR31004314	deltaFoabaA_FoabaA_germ_conidia_STAGE4	STAGE4	deltaFoabaA::PAfabaA::FoabaA
deltaFoabaA_FoabaA_germ_conidia_STAGE4_rep2	SRR31004313	deltaFoabaA_FoabaA_germ_conidia_STAGE4	STAGE4	deltaFoabaA::PAfabaA::FoabaA
deltaFoabaA_FoabaA_germ_conidia_STAGE4_rep3	SRR31004312	deltaFoabaA_FoabaA_germ_conidia_STAGE4	STAGE4	deltaFoabaA::PAfabaA::FoabaA
