sample.ID \\ Descriptors	SRA.ID.s.	label	rice_cultivar	inoculation_method	timepoint
co39_leaf_drop_0h_rep1	ERR5928164	co39_leaf_drop_0h	co39	drop	0
co39_leaf_drop_0h_rep2	ERR5928177	co39_leaf_drop_0h	co39	drop	0
co39_leaf_drop_0h_rep3	ERR5928161	co39_leaf_drop_0h	co39	drop	0
co39_leaf_drop_144h_rep1	ERR5928176	co39_leaf_drop_144h	co39	drop	144
co39_leaf_drop_144h_rep2	ERR5928160	co39_leaf_drop_144h	co39	drop	144
co39_leaf_drop_144h_rep3	ERR5928169	co39_leaf_drop_144h	co39	drop	144
co39_leaf_drop_16h_rep1	ERR5928171	co39_leaf_drop_16h	co39	drop	16
co39_leaf_drop_16h_rep2	ERR5928155	co39_leaf_drop_16h	co39	drop	16
co39_leaf_drop_16h_rep3	ERR5928163	co39_leaf_drop_16h	co39	drop	16
co39_leaf_drop_24h_rep1	ERR5928172	co39_leaf_drop_24h	co39	drop	24
co39_leaf_drop_24h_rep2	ERR5928156	co39_leaf_drop_24h	co39	drop	24
co39_leaf_drop_24h_rep3	ERR5928165	co39_leaf_drop_24h	co39	drop	24
co39_leaf_drop_48h_rep1	ERR5928173	co39_leaf_drop_48h	co39	drop	48
co39_leaf_drop_48h_rep2	ERR5928157	co39_leaf_drop_48h	co39	drop	48
co39_leaf_drop_48h_rep3	ERR5928166	co39_leaf_drop_48h	co39	drop	48
co39_leaf_drop_72h_rep1	ERR5928174	co39_leaf_drop_72h	co39	drop	72
co39_leaf_drop_72h_rep2	ERR5928158	co39_leaf_drop_72h	co39	drop	72
co39_leaf_drop_72h_rep3	ERR5928167	co39_leaf_drop_72h	co39	drop	72
co39_leaf_drop_8h_rep1	ERR5928170	co39_leaf_drop_8h	co39	drop	8
co39_leaf_drop_8h_rep2	ERR5928154	co39_leaf_drop_8h	co39	drop	8
co39_leaf_drop_8h_rep3	ERR5928162	co39_leaf_drop_8h	co39	drop	8
co39_leaf_drop_96h_rep1	ERR5928175	co39_leaf_drop_96h	co39	drop	96
co39_leaf_drop_96h_rep2	ERR5928159	co39_leaf_drop_96h	co39	drop	96
co39_leaf_drop_96h_rep3	ERR5928168	co39_leaf_drop_96h	co39	drop	96
co39_leaf_spray_0h_rep1	ERR5928189	co39_leaf_spray_0h	co39	spray	0
co39_leaf_spray_0h_rep2	ERR5928195	co39_leaf_spray_0h	co39	spray	0
co39_leaf_spray_0h_rep3	ERR5928196	co39_leaf_spray_0h	co39	spray	0
co39_leaf_spray_144h_rep1	ERR5928192	co39_leaf_spray_144h	co39	spray	144
co39_leaf_spray_144h_rep2	ERR5928193	co39_leaf_spray_144h	co39	spray	144
co39_leaf_spray_144h_rep3	ERR5928194	co39_leaf_spray_144h	co39	spray	144
co39_leaf_spray_16h_rep1	ERR5928200	co39_leaf_spray_16h	co39	spray	16
co39_leaf_spray_16h_rep2	ERR5928201	co39_leaf_spray_16h	co39	spray	16
co39_leaf_spray_16h_rep3	ERR5928202	co39_leaf_spray_16h	co39	spray	16
co39_leaf_spray_24h_rep1	ERR5928179	co39_leaf_spray_24h	co39	spray	24
co39_leaf_spray_24h_rep2	ERR5928180	co39_leaf_spray_24h	co39	spray	24
co39_leaf_spray_24h_rep3	ERR5928181	co39_leaf_spray_24h	co39	spray	24
co39_leaf_spray_48h_rep1	ERR5928182	co39_leaf_spray_48h	co39	spray	48
co39_leaf_spray_48h_rep2	ERR5928183	co39_leaf_spray_48h	co39	spray	48
co39_leaf_spray_48h_rep3	ERR5928184	co39_leaf_spray_48h	co39	spray	48
co39_leaf_spray_72h_rep1	ERR5928185	co39_leaf_spray_72h	co39	spray	72
co39_leaf_spray_72h_rep2	ERR5928186	co39_leaf_spray_72h	co39	spray	72
co39_leaf_spray_72h_rep3	ERR5928187	co39_leaf_spray_72h	co39	spray	72
co39_leaf_spray_8h_rep1	ERR5928197	co39_leaf_spray_8h	co39	spray	8
co39_leaf_spray_8h_rep2	ERR5928198	co39_leaf_spray_8h	co39	spray	8
co39_leaf_spray_8h_rep3	ERR5928199	co39_leaf_spray_8h	co39	spray	8
co39_leaf_spray_96h_rep1	ERR5928188	co39_leaf_spray_96h	co39	spray	96
co39_leaf_spray_96h_rep2	ERR5928190	co39_leaf_spray_96h	co39	spray	96
co39_leaf_spray_96h_rep3	ERR5928191	co39_leaf_spray_96h	co39	spray	96
moukoto_leaf_spray_0h_rep1	ERR5928203	moukoto_leaf_spray_0h	moukoto	spray	0
moukoto_leaf_spray_0h_rep2	ERR5928204	moukoto_leaf_spray_0h	moukoto	spray	0
moukoto_leaf_spray_0h_rep3	ERR5928205	moukoto_leaf_spray_0h	moukoto	spray	0
moukoto_leaf_spray_144h_rep1	ERR5928224	moukoto_leaf_spray_144h	moukoto	spray	144
moukoto_leaf_spray_144h_rep2	ERR5928225	moukoto_leaf_spray_144h	moukoto	spray	144
moukoto_leaf_spray_144h_rep3	ERR5928226	moukoto_leaf_spray_144h	moukoto	spray	144
moukoto_leaf_spray_16h_rep1	ERR5928209	moukoto_leaf_spray_16h	moukoto	spray	16
moukoto_leaf_spray_16h_rep2	ERR5928210	moukoto_leaf_spray_16h	moukoto	spray	16
moukoto_leaf_spray_16h_rep3	ERR5928211	moukoto_leaf_spray_16h	moukoto	spray	16
moukoto_leaf_spray_24h_rep1	ERR5928212	moukoto_leaf_spray_24h	moukoto	spray	24
moukoto_leaf_spray_24h_rep2	ERR5928213	moukoto_leaf_spray_24h	moukoto	spray	24
moukoto_leaf_spray_24h_rep3	ERR5928214	moukoto_leaf_spray_24h	moukoto	spray	24
moukoto_leaf_spray_48h_rep1	ERR5928215	moukoto_leaf_spray_48h	moukoto	spray	48
moukoto_leaf_spray_48h_rep2	ERR5928216	moukoto_leaf_spray_48h	moukoto	spray	48
moukoto_leaf_spray_48h_rep3	ERR5928217	moukoto_leaf_spray_48h	moukoto	spray	48
moukoto_leaf_spray_72h_rep1	ERR5928218	moukoto_leaf_spray_72h	moukoto	spray	72
moukoto_leaf_spray_72h_rep2	ERR5928219	moukoto_leaf_spray_72h	moukoto	spray	72
moukoto_leaf_spray_72h_rep3	ERR5928220	moukoto_leaf_spray_72h	moukoto	spray	72
moukoto_leaf_spray_8h_rep1	ERR5928206	moukoto_leaf_spray_8h	moukoto	spray	8
moukoto_leaf_spray_8h_rep2	ERR5928207	moukoto_leaf_spray_8h	moukoto	spray	8
moukoto_leaf_spray_8h_rep3	ERR5928208	moukoto_leaf_spray_8h	moukoto	spray	8
