sample.ID \\ Descriptors	SRA.ID.s.	label	genotype	light_treatment
WT_DD_rep1	SRR8065394,SRR8065395	WT_DD	WT	DD
WT_DD_rep2	SRR8065396,SRR8065397	WT_DD	WT	DD
WT_LP30_rep1	SRR8065398,SRR8065399	WT_LP30	WT	LP30
WT_LP30_rep2	SRR8065400,SRR8065401	WT_LP30	WT	LP30
set1_DD_rep1	SRR8065402,SRR8065403	set1_DD	set1 (Δkmt2/set-1)	DD
set1_DD_rep2	SRR8065404,SRR8065405	set1_DD	set1 (Δkmt2/set-1)	DD
set1_LP30_rep1	SRR8065406,SRR8065407	set1_LP30	set1 (Δkmt2/set-1)	LP30
set1_LP30_rep2	SRR8065408,SRR8065409	set1_LP30	set1 (Δkmt2/set-1)	LP30
dim5_DD_rep1	SRR8065410,SRR8065411	dim5_DD	dim5 (Δkmt1/dim-5)	DD
dim5_DD_rep2	SRR8065412,SRR8065413	dim5_DD	dim5 (Δkmt1/dim-5)	DD
dim5_LP30_rep1	SRR8065414,SRR8065415	dim5_LP30	dim5 (Δkmt1/dim-5)	LP30
dim5_LP30_rep2	SRR8065416,SRR8065417	dim5_LP30	dim5 (Δkmt1/dim-5)	LP30
