sample.ID \\ Descriptors	SRA.ID.s.	label	genotype	overexpression	transformant_line
delta_LmPf2_A_rep1	SRR25145120	delta_LmPf2_A	delta_LmPf2	no	A
delta_LmPf2_A_rep2	SRR25145119	delta_LmPf2_A	delta_LmPf2	no	A
delta_LmPf2_B_rep1	SRR25145118	delta_LmPf2_B	delta_LmPf2	no	B
delta_LmPf2_B_rep2	SRR25145117	delta_LmPf2_B	delta_LmPf2	no	B
JN2_rep1	SRR25145116	JN2	wild type	no	
JN2_rep2	SRR25145115	JN2	wild type	no	
delta_kmt1_rep1	SRR25145114	delta_kmt1	delta_kmt1	no	
delta_kmt1_rep2	SRR25145113	delta_kmt1	delta_kmt1	no	
JN2_oPf2_A_rep1	SRR25145112	JN2_oPf2_A	wild type	yes	A
JN2_oPf2_A_rep2	SRR25145111	JN2_oPf2_A	wild type	yes	A
JN2_oPf2_B_rep1	SRR25145110	JN2_oPf2_B	wild type	yes	B
JN2_oPf2_B_rep2	SRR25145109	JN2_oPf2_B	wild type	yes	B
delta_kmt1_oPf2_B_rep1	SRR25145108	delta_kmt1_oPf2_B	delta_kmt1	yes	B
delta_kmt1_oPf2_B_rep2	SRR25145107	delta_kmt1_oPf2_B	delta_kmt1	yes	B
delta_kmt1_oPf2_A_rep1	SRR25145106	delta_kmt1_oPf2_A	delta_kmt1	yes	A
delta_kmt1_oPf2_A_rep2	SRR25145105	delta_kmt1_oPf2_A	delta_kmt1	yes	A
