sample.ID \\ Descriptors	SRA.ID.s.	label	time
0hr_rep1	SRR7208564,SRR7208565	0hr	0
0hr_rep2	SRR7208566,SRR7208567	0hr	0
0hr_rep3	SRR7208568,SRR7208569	0hr	0
1hr_rep1	SRR7208570,SRR7208571	1hr	1
1hr_rep2	SRR7208572,SRR7208573	1hr	1
1hr_rep3	SRR7208574,SRR7208575	1hr	1
2hr_rep1	SRR7208576,SRR7208577	2hr	2
2hr_rep2	SRR7208578,SRR7208579	2hr	2
2hr_rep3	SRR7208580,SRR7208581	2hr	2
3hr_rep1	SRR7208582,SRR7208583	3hr	3
3hr_rep2	SRR7208584,SRR7208585	3hr	3
3hr_rep3	SRR7208586,SRR7208587	3hr	3
4hr_rep1	SRR7208588,SRR7208589	4hr	4
4hr_rep2	SRR7208590,SRR7208591	4hr	4
4hr_rep3	SRR7208592,SRR7208593	4hr	4
5hr_rep1	SRR7208594,SRR7208595	5hr	5
5hr_rep2	SRR7208596,SRR7208597	5hr	5
5hr_rep3	SRR7208598,SRR7208599	5hr	5
6hr_rep1	SRR7208600,SRR7208601	6hr	6
6hr_rep2	SRR7208602,SRR7208603	6hr	6
6hr_rep3	SRR7208604,SRR7208605	6hr	6
12hr_rep1	SRR7208606,SRR7208607	12hr	12
12hr_rep2	SRR7208608,SRR7208609	12hr	12
12hr_rep3	SRR7208610,SRR7208611	12hr	12
16hr_rep1	SRR7208612,SRR7208613	16hr	16
16hr_rep2	SRR7208614,SRR7208615	16hr	16
16hr_rep3	SRR7208616,SRR7208617	16hr	16
24hr_rep1	SRR7208618,SRR7208619	24hr	24
24hr_rep2	SRR7208620,SRR7208621	24hr	24
24hr_rep3	SRR7208622,SRR7208623	24hr	24
