sample.ID \\ Descriptors	SRA.ID.s.	label	medium	supplement
SAMN41096056	SRR28816831	1 hour OFF-AM + 15µM FeCl3	AM	FeCl3
SAMN41096057	SRR28816832	1 hour OFF-AM + 15µM FeCl3	AM	FeCl3
SAMN41096058	SRR28816833	1 hour OFF-AM + 15µM FeCl3	AM	FeCl3
SAMN41096059	SRR28816834	1 hour OFF-AM + 15µM hemin	AM	hemin
SAMN41096060	SRR28816835	1 hour OFF-AM + 15µM hemin	AM	hemin
SAMN41096061	SRR28816836	1 hour OFF-AM + 15µM hemin	AM	hemin
SAMN41096062	SRR28816837	1 hour OFF-AM	AM	none
SAMN41096063	SRR28816838	1 hour OFF-AM	AM	none
SAMN41096064	SRR28816839	1 hour OFF-AM	AM	none
SAMN41096065	SRR28816840	1 hour ON-NM	NM	none
SAMN41096066	SRR28816841	1 hour ON-NM	NM	none
SAMN41096067	SRR28816842	1 hour ON-NM	NM	none
